ID,SiteID,ObservationTimeUTC,Value
522651,36061NY10130,2024-03-01 00:00:00.000,5.0
522652,36061NY08552,2024-03-01 00:00:00.000,6.39
522653,36081NY09285,2024-03-01 00:00:00.000,4.29
522654,36061NY09734,2024-03-01 00:00:00.000,7.03
522655,36061NY08653,2024-03-01 00:00:00.000,5.31
522656,36081NY07615,2024-03-01 00:00:00.000,5.95
522657,36005NY12387,2024-03-01 00:00:00.000,4.91
522658,36061NY08454,2024-03-01 00:00:00.000,5.51
522659,36061NY10130,2024-03-01 01:00:00.000,5.01
522660,36061NY08552,2024-03-01 01:00:00.000,6.84
522661,36081NY09285,2024-03-01 01:00:00.000,4.21
522662,36061NY09734,2024-03-01 01:00:00.000,6.49
522663,36061NY08653,2024-03-01 01:00:00.000,5.71
522664,36081NY07615,2024-03-01 01:00:00.000,5.63
522665,36005NY12387,2024-03-01 01:00:00.000,4.92
522666,36061NY08454,2024-03-01 01:00:00.000,5.74
522667,36061NY10130,2024-03-01 02:00:00.000,4.59
522668,36061NY08552,2024-03-01 02:00:00.000,6.63
522669,36081NY09285,2024-03-01 02:00:00.000,4.32
522670,36061NY09734,2024-03-01 02:00:00.000,5.34
522671,36081NY07615,2024-03-01 02:00:00.000,5.82
522701,36005NY12387,2024-03-01 02:00:00.000,4.85
522702,36061NY08454,2024-03-01 02:00:00.000,5.16
522703,36061NY08653,2024-03-01 02:00:00.000,5.82
522704,36061NY10130,2024-03-01 03:00:00.000,4.04
522705,36061NY08552,2024-03-01 03:00:00.000,6.51
522706,36081NY09285,2024-03-01 03:00:00.000,4.07
522707,36061NY09734,2024-03-01 03:00:00.000,4.74
522708,36061NY08653,2024-03-01 03:00:00.000,5.77
522709,36081NY07615,2024-03-01 03:00:00.000,5.3
522721,36005NY12387,2024-03-01 03:00:00.000,4.77
522722,36061NY08454,2024-03-01 03:00:00.000,5.0
522723,36061NY10130,2024-03-01 04:00:00.000,4.63
522724,36061NY08552,2024-03-01 04:00:00.000,5.73
522725,36081NY09285,2024-03-01 04:00:00.000,4.16
522726,36061NY09734,2024-03-01 04:00:00.000,4.55
522727,36081NY07615,2024-03-01 04:00:00.000,5.1
522738,36005NY12387,2024-03-01 04:00:00.000,4.88
522739,36061NY08454,2024-03-01 04:00:00.000,4.69
522740,36061NY08653,2024-03-01 04:00:00.000,5.08
522741,36061NY10130,2024-03-01 05:00:00.000,4.03
522742,36061NY08552,2024-03-01 05:00:00.000,5.46
522743,36081NY09285,2024-03-01 05:00:00.000,4.15
522744,36061NY09734,2024-03-01 05:00:00.000,4.88
522745,36061NY08653,2024-03-01 05:00:00.000,4.91
522746,36081NY07615,2024-03-01 05:00:00.000,4.61
522757,36005NY12387,2024-03-01 05:00:00.000,4.89
522758,36061NY08454,2024-03-01 05:00:00.000,4.67
522759,36061NY10130,2024-03-01 06:00:00.000,4.2
522760,36061NY08552,2024-03-01 06:00:00.000,5.19
522761,36081NY09285,2024-03-01 06:00:00.000,3.94
522762,36061NY09734,2024-03-01 06:00:00.000,4.36
522763,36061NY08653,2024-03-01 06:00:00.000,5.17
522764,36081NY07615,2024-03-01 06:00:00.000,4.73
522775,36005NY12387,2024-03-01 06:00:00.000,4.6
522776,36061NY08454,2024-03-01 06:00:00.000,4.54
522777,36061NY10130,2024-03-01 07:00:00.000,3.86
522778,36061NY08552,2024-03-01 07:00:00.000,4.79
522779,36081NY09285,2024-03-01 07:00:00.000,3.88
522780,36081NY07615,2024-03-01 07:00:00.000,4.8
522790,36005NY12387,2024-03-01 07:00:00.000,4.54
522791,36061NY08454,2024-03-01 07:00:00.000,4.64
522792,36061NY09734,2024-03-01 07:00:00.000,4.08
522793,36061NY08653,2024-03-01 07:00:00.000,5.55
522794,36061NY10130,2024-03-01 08:00:00.000,4.13
522795,36061NY08552,2024-03-01 08:00:00.000,5.28
522796,36081NY09285,2024-03-01 08:00:00.000,4.07
522797,36061NY08653,2024-03-01 08:00:00.000,5.13
522798,36081NY07615,2024-03-01 08:00:00.000,4.94
522809,36005NY12387,2024-03-01 08:00:00.000,4.31
522810,36061NY08454,2024-03-01 08:00:00.000,4.51
522811,36061NY09734,2024-03-01 08:00:00.000,4.39
522812,36061NY10130,2024-03-01 09:00:00.000,4.23
522813,36061NY08552,2024-03-01 09:00:00.000,5.15
522814,36081NY09285,2024-03-01 09:00:00.000,4.37
522815,36061NY08653,2024-03-01 09:00:00.000,4.57
522816,36081NY07615,2024-03-01 09:00:00.000,5.45
522827,36005NY12387,2024-03-01 09:00:00.000,4.86
522828,36061NY08454,2024-03-01 09:00:00.000,4.8
522829,36061NY09734,2024-03-01 09:00:00.000,4.67
522830,36061NY10130,2024-03-01 10:00:00.000,4.65
