#---------------------------------------------------------------------------------
#If this data is to be used publicly, it must be cited. Suggested citation below:
#New York City Department of Health and Mental Hygiene and Queens College. 
#New York City Community Air Survey.
#Real-time PM2.5 Monitor Data from
# July 01 - 2020 to July 31 - 2020. 
#https://a816-dohbesp.nyc.gov/IndicatorPublic/data-features/realtime-air-quality/.
#File Created on: January 13 - 2026
#------------------------------------------------------------------------------------
ID,SiteID,ObservationTimeUTC,Value
144226,360850111,2020-07-01 00:00:00.000,5.3
125004,360810125,2020-07-01 00:00:00.000,1.8
99262,360810120,2020-07-01 00:00:00.000,0.3
47365,360470118,2020-07-01 00:00:00.000,1.4
115554,360810124,2020-07-01 00:00:00.000,2.6
198750,36081NY09285,2020-07-01 00:00:00.000,3.82
198752,36061NY09929,2020-07-01 00:00:00.000,5.39
198753,36061NY08454,2020-07-01 00:00:00.000,6.15
198754,36061NY10130,2020-07-01 00:00:00.000,8.05
28358,360470052,2020-07-01 00:00:00.000,3.0
81636,360610135,2020-07-01 00:00:00.000,1.9
81637,360610135,2020-07-01 01:00:00.000,3.5
28359,360470052,2020-07-01 01:00:00.000,2.1
198755,36081NY09285,2020-07-01 01:00:00.000,4.87
198757,36061NY09929,2020-07-01 01:00:00.000,4.35
198758,36061NY08454,2020-07-01 01:00:00.000,5.17
198759,36061NY10130,2020-07-01 01:00:00.000,6.03
115555,360810124,2020-07-01 01:00:00.000,3.1
47366,360470118,2020-07-01 01:00:00.000,3.2
99263,360810120,2020-07-01 01:00:00.000,5.5
125005,360810125,2020-07-01 01:00:00.000,3.7
144227,360850111,2020-07-01 01:00:00.000,7.3
144228,360850111,2020-07-01 02:00:00.000,6.0
125006,360810125,2020-07-01 02:00:00.000,4.4
99264,360810120,2020-07-01 02:00:00.000,2.7
47367,360470118,2020-07-01 02:00:00.000,5.6
115556,360810124,2020-07-01 02:00:00.000,5.0
198760,36081NY09285,2020-07-01 02:00:00.000,6.96
198762,36061NY09929,2020-07-01 02:00:00.000,5.44
198763,36061NY08454,2020-07-01 02:00:00.000,5.87
198764,36061NY10130,2020-07-01 02:00:00.000,7.18
15244,360050112,2020-07-01 02:00:00.000,0.5
81638,360610135,2020-07-01 02:00:00.000,3.1
81639,360610135,2020-07-01 03:00:00.000,6.8
15245,360050112,2020-07-01 03:00:00.000,0.7
28360,360470052,2020-07-01 03:00:00.000,7.9
198765,36081NY09285,2020-07-01 03:00:00.000,6.47
198766,36061NY09734,2020-07-01 03:00:00.000,0.61
198767,36061NY09929,2020-07-01 03:00:00.000,7.48
198768,36061NY08454,2020-07-01 03:00:00.000,7.48
198769,36061NY10130,2020-07-01 03:00:00.000,9.05
115557,360810124,2020-07-01 03:00:00.000,6.4
47368,360470118,2020-07-01 03:00:00.000,6.8
99265,360810120,2020-07-01 03:00:00.000,4.9
125007,360810125,2020-07-01 03:00:00.000,8.2
144229,360850111,2020-07-01 03:00:00.000,9.3
144230,360850111,2020-07-01 04:00:00.000,7.8
125008,360810125,2020-07-01 04:00:00.000,3.4
99266,360810120,2020-07-01 04:00:00.000,2.3
47369,360470118,2020-07-01 04:00:00.000,3.8
115558,360810124,2020-07-01 04:00:00.000,3.9
198770,36081NY09285,2020-07-01 04:00:00.000,5.72
198771,36061NY09734,2020-07-01 04:00:00.000,2.03
198772,36061NY09929,2020-07-01 04:00:00.000,9.06
198773,36061NY08454,2020-07-01 04:00:00.000,6.82
198774,36061NY10130,2020-07-01 04:00:00.000,10.34
28361,360470052,2020-07-01 04:00:00.000,3.1
15246,360050112,2020-07-01 04:00:00.000,4.5
81640,360610135,2020-07-01 04:00:00.000,5.5
81641,360610135,2020-07-01 05:00:00.000,2.2
15247,360050112,2020-07-01 05:00:00.000,1.2
28362,360470052,2020-07-01 05:00:00.000,7.3
198775,36081NY09285,2020-07-01 05:00:00.000,7.07
198776,36061NY09734,2020-07-01 05:00:00.000,0.38
198777,36061NY09929,2020-07-01 05:00:00.000,8.01
198778,36061NY08454,2020-07-01 05:00:00.000,6.19
198779,36061NY10130,2020-07-01 05:00:00.000,8.59
115559,360810124,2020-07-01 05:00:00.000,5.7
47370,360470118,2020-07-01 05:00:00.000,2.5
99267,360810120,2020-07-01 05:00:00.000,2.0
125009,360810125,2020-07-01 05:00:00.000,4.7
144231,360850111,2020-07-01 05:00:00.000,6.3
144232,360850111,2020-07-01 06:00:00.000,6.6
125010,360810125,2020-07-01 06:00:00.000,4.7
99268,360810120,2020-07-01 06:00:00.000,1.6
47371,360470118,2020-07-01 06:00:00.000,3.5
115560,360810124,2020-07-01 06:00:00.000,7.3
198780,36081NY09285,2020-07-01 06:00:00.000,6.86
198781,36061NY09734,2020-07-01 06:00:00.000,0.78
198782,36061NY09929,2020-07-01 06:00:00.000,7.28
198783,36061NY08454,2020-07-01 06:00:00.000,6.75
198784,36061NY10130,2020-07-01 06:00:00.000,8.74
28363,360470052,2020-07-01 06:00:00.000,7.8
15248,360050112,2020-07-01 06:00:00.000,0.4
81642,360610135,2020-07-01 06:00:00.000,4.6
81643,360610135,2020-07-01 07:00:00.000,2.1
15249,360050112,2020-07-01 07:00:00.000,0.8
28364,360470052,2020-07-01 07:00:00.000,3.3
115561,360810124,2020-07-01 07:00:00.000,7.2
47372,360470118,2020-07-01 07:00:00.000,1.7
99269,360810120,2020-07-01 07:00:00.000,1.4
125011,360810125,2020-07-01 07:00:00.000,3.2
144233,360850111,2020-07-01 07:00:00.000,7.0
144234,360850111,2020-07-01 08:00:00.000,6.5
125012,360810125,2020-07-01 08:00:00.000,4.9
99270,360810120,2020-07-01 08:00:00.000,3.1
47373,360470118,2020-07-01 08:00:00.000,2.6
115562,360810124,2020-07-01 08:00:00.000,7.7
28365,360470052,2020-07-01 08:00:00.000,6.8
15250,360050112,2020-07-01 08:00:00.000,2.5
81644,360610135,2020-07-01 08:00:00.000,4.6
198785,36081NY09285,2020-07-01 08:00:00.000,6.83
198786,36061NY09734,2020-07-01 08:00:00.000,2.79
198787,36061NY09929,2020-07-01 08:00:00.000,8.46
198788,36061NY08454,2020-07-01 08:00:00.000,9.41
198789,36061NY10130,2020-07-01 08:00:00.000,11.01
198790,36081NY09285,2020-07-01 09:00:00.000,9.42
198791,36061NY09734,2020-07-01 09:00:00.000,3.65
198792,36061NY09929,2020-07-01 09:00:00.000,15.54
198793,36061NY08454,2020-07-01 09:00:00.000,11.39
198794,36061NY10130,2020-07-01 09:00:00.000,13.97
