#---------------------------------------------------------------------------------
#If this data is to be used publicly, it must be cited. Suggested citation below:
#New York City Department of Health and Mental Hygiene and Queens College. 
#New York City Community Air Survey.
#Real-time PM2.5 Monitor Data from
# September 01 - 2020 to September 30 - 2020. 
#https://a816-dohbesp.nyc.gov/IndicatorPublic/data-features/realtime-air-quality/.
#File Created on: January 13 - 2026
#------------------------------------------------------------------------------------
ID,SiteID,ObservationTimeUTC,Value
206371,36081NY09285,2020-09-01 00:00:00.000,3.64
206372,36061NY09734,2020-09-01 00:00:00.000,5.07
206373,36061NY09929,2020-09-01 00:00:00.000,4.49
206374,36061NY08454,2020-09-01 00:00:00.000,3.04
206375,36061NY10130,2020-09-01 00:00:00.000,5.14
206376,36061NY08552,2020-09-01 00:00:00.000,5.72
29606,360470052,2020-09-01 00:00:00.000,6.4
16535,360050112,2020-09-01 00:00:00.000,9.4
62285,360610115,2020-09-01 00:00:00.000,6.4
82958,360610135,2020-09-01 00:00:00.000,7.9
48393,360470118,2020-09-01 00:00:00.000,5.7
126362,360810125,2020-09-01 00:00:00.000,5.8
145475,360850111,2020-09-01 00:00:00.000,3.9
117019,360810124,2020-09-01 00:00:00.000,4.6
117020,360810124,2020-09-01 01:00:00.000,3.0
145476,360850111,2020-09-01 01:00:00.000,1.9
126363,360810125,2020-09-01 01:00:00.000,4.5
48394,360470118,2020-09-01 01:00:00.000,2.3
82959,360610135,2020-09-01 01:00:00.000,4.1
62286,360610115,2020-09-01 01:00:00.000,4.3
16536,360050112,2020-09-01 01:00:00.000,5.1
29607,360470052,2020-09-01 01:00:00.000,4.6
206377,36081NY09285,2020-09-01 01:00:00.000,3.74
206378,36061NY09734,2020-09-01 01:00:00.000,5.19
206379,36061NY09929,2020-09-01 01:00:00.000,4.32
206380,36061NY08454,2020-09-01 01:00:00.000,3.06
206381,36061NY10130,2020-09-01 01:00:00.000,5.38
206382,36061NY08552,2020-09-01 01:00:00.000,5.58
206383,36081NY09285,2020-09-01 02:00:00.000,3.43
206384,36061NY09734,2020-09-01 02:00:00.000,4.25
206385,36061NY09929,2020-09-01 02:00:00.000,3.91
206386,36061NY08454,2020-09-01 02:00:00.000,3.06
206387,36061NY10130,2020-09-01 02:00:00.000,5.21
206388,36061NY08552,2020-09-01 02:00:00.000,4.83
16537,360050112,2020-09-01 02:00:00.000,5.1
62287,360610115,2020-09-01 02:00:00.000,4.6
82960,360610135,2020-09-01 02:00:00.000,4.2
48395,360470118,2020-09-01 02:00:00.000,1.2
126364,360810125,2020-09-01 02:00:00.000,3.5
145477,360850111,2020-09-01 02:00:00.000,2.1
117021,360810124,2020-09-01 02:00:00.000,2.5
117022,360810124,2020-09-01 03:00:00.000,3.1
145478,360850111,2020-09-01 03:00:00.000,0.1
126365,360810125,2020-09-01 03:00:00.000,1.3
48396,360470118,2020-09-01 03:00:00.000,1.4
82961,360610135,2020-09-01 03:00:00.000,0.9
62288,360610115,2020-09-01 03:00:00.000,1.4
16538,360050112,2020-09-01 03:00:00.000,1.4
206389,36081NY09285,2020-09-01 03:00:00.000,3.47
206390,36061NY09734,2020-09-01 03:00:00.000,4.09
206391,36061NY09929,2020-09-01 03:00:00.000,3.58
206392,36061NY08454,2020-09-01 03:00:00.000,2.91
206393,36061NY10130,2020-09-01 03:00:00.000,8.27
206394,36061NY08552,2020-09-01 03:00:00.000,4.79
206395,36081NY09285,2020-09-01 04:00:00.000,3.65
206396,36061NY09734,2020-09-01 04:00:00.000,4.02
206397,36061NY09929,2020-09-01 04:00:00.000,3.45
206398,36061NY08454,2020-09-01 04:00:00.000,2.75
206399,36061NY10130,2020-09-01 04:00:00.000,7.02
206400,36061NY08552,2020-09-01 04:00:00.000,4.36
16539,360050112,2020-09-01 04:00:00.000,2.3
29608,360470052,2020-09-01 04:00:00.000,1.7
62289,360610115,2020-09-01 04:00:00.000,1.2
82962,360610135,2020-09-01 04:00:00.000,2.5
48397,360470118,2020-09-01 04:00:00.000,1.9
126366,360810125,2020-09-01 04:00:00.000,1.2
117023,360810124,2020-09-01 04:00:00.000,5.6
117024,360810124,2020-09-01 05:00:00.000,3.1
126367,360810125,2020-09-01 05:00:00.000,1.6
48398,360470118,2020-09-01 05:00:00.000,2.9
82963,360610135,2020-09-01 05:00:00.000,3.5
62290,360610115,2020-09-01 05:00:00.000,2.5
29609,360470052,2020-09-01 05:00:00.000,6.2
16540,360050112,2020-09-01 05:00:00.000,4.7
206401,36081NY09285,2020-09-01 05:00:00.000,3.37
206402,36061NY09734,2020-09-01 05:00:00.000,3.95
206403,36061NY09929,2020-09-01 05:00:00.000,3.47
206404,36061NY08454,2020-09-01 05:00:00.000,2.82
206405,36061NY10130,2020-09-01 05:00:00.000,5.44
206406,36061NY08552,2020-09-01 05:00:00.000,4.7
206407,36081NY09285,2020-09-01 06:00:00.000,3.3
206408,36061NY09734,2020-09-01 06:00:00.000,3.7
206409,36061NY09929,2020-09-01 06:00:00.000,3.38
206410,36061NY08454,2020-09-01 06:00:00.000,2.7
206411,36061NY10130,2020-09-01 06:00:00.000,7.3
206412,36061NY08552,2020-09-01 06:00:00.000,4.42
16541,360050112,2020-09-01 06:00:00.000,6.3
29610,360470052,2020-09-01 06:00:00.000,4.9
62291,360610115,2020-09-01 06:00:00.000,2.0
82964,360610135,2020-09-01 06:00:00.000,2.1
48399,360470118,2020-09-01 06:00:00.000,1.6
126368,360810125,2020-09-01 06:00:00.000,4.9
117025,360810124,2020-09-01 06:00:00.000,1.6
117026,360810124,2020-09-01 07:00:00.000,1.8
126369,360810125,2020-09-01 07:00:00.000,2.5
82965,360610135,2020-09-01 07:00:00.000,3.3
62292,360610115,2020-09-01 07:00:00.000,1.7
16542,360050112,2020-09-01 07:00:00.000,2.9
206413,36061NY08454,2020-09-01 07:00:00.000,2.9
206414,36081NY09285,2020-09-01 08:00:00.000,3.09
206415,36061NY09734,2020-09-01 08:00:00.000,3.52
206416,36061NY09929,2020-09-01 08:00:00.000,3.3
206417,36061NY08454,2020-09-01 08:00:00.000,3.15
206418,36061NY08552,2020-09-01 08:00:00.000,4.83
16543,360050112,2020-09-01 08:00:00.000,3.8
29611,360470052,2020-09-01 08:00:00.000,1.7
62293,360610115,2020-09-01 08:00:00.000,0.1
82966,360610135,2020-09-01 08:00:00.000,0.8
126370,360810125,2020-09-01 08:00:00.000,1.2
48400,360470118,2020-09-01 08:00:00.000,1.7
145479,360850111,2020-09-01 08:00:00.000,1.7
145480,360850111,2020-09-01 09:00:00.000,3.7
48401,360470118,2020-09-01 09:00:00.000,1.9
126371,360810125,2020-09-01 09:00:00.000,5.7
117027,360810124,2020-09-01 09:00:00.000,1.8
82967,360610135,2020-09-01 09:00:00.000,4.0
62294,360610115,2020-09-01 09:00:00.000,3.6
29612,360470052,2020-09-01 09:00:00.000,3.3
16544,360050112,2020-09-01 09:00:00.000,2.6
206419,36081NY09285,2020-09-01 09:00:00.000,3.23
206420,36061NY09734,2020-09-01 09:00:00.000,3.24
206421,36061NY09929,2020-09-01 09:00:00.000,3.45
206422,36061NY08454,2020-09-01 09:00:00.000,3.8
206423,36061NY10130,2020-09-01 09:00:00.000,4.77
206424,36061NY08552,2020-09-01 09:00:00.000,5.43
206425,36081NY09285,2020-09-01 10:00:00.000,3.42
206426,36061NY09734,2020-09-01 10:00:00.000,3.56
206427,36061NY09929,2020-09-01 10:00:00.000,5.49
206428,36061NY08454,2020-09-01 10:00:00.000,4.39
206429,36061NY10130,2020-09-01 10:00:00.000,5.18
206430,36061NY08552,2020-09-01 10:00:00.000,7.07
16545,360050112,2020-09-01 10:00:00.000,4.4
29613,360470052,2020-09-01 10:00:00.000,3.0
62295,360610115,2020-09-01 10:00:00.000,2.0
82968,360610135,2020-09-01 10:00:00.000,2.6
117028,360810124,2020-09-01 10:00:00.000,3.3
126372,360810125,2020-09-01 10:00:00.000,5.1
48402,360470118,2020-09-01 10:00:00.000,1.0
145481,360850111,2020-09-01 10:00:00.000,1.5
145482,360850111,2020-09-01 11:00:00.000,0.7
126373,360810125,2020-09-01 11:00:00.000,1.5
117029,360810124,2020-09-01 11:00:00.000,1.0
82969,360610135,2020-09-01 11:00:00.000,3.8
62296,360610115,2020-09-01 11:00:00.000,3.3
16546,360050112,2020-09-01 11:00:00.000,2.1
206431,36081NY09285,2020-09-01 11:00:00.000,3.25
206432,36061NY09734,2020-09-01 11:00:00.000,4.76
206433,36061NY09929,2020-09-01 11:00:00.000,4.13
206434,36061NY08454,2020-09-01 11:00:00.000,3.95
206435,36061NY10130,2020-09-01 11:00:00.000,5.6
206436,36061NY08552,2020-09-01 11:00:00.000,6.7
206437,36081NY09285,2020-09-01 12:00:00.000,4.01
206438,36061NY09734,2020-09-01 12:00:00.000,5.29
206439,36061NY09929,2020-09-01 12:00:00.000,5.77
206440,36061NY08454,2020-09-01 12:00:00.000,5.48
206441,36061NY10130,2020-09-01 12:00:00.000,5.82
206442,36061NY08552,2020-09-01 12:00:00.000,7.52
16547,360050112,2020-09-01 12:00:00.000,4.2
62297,360610115,2020-09-01 12:00:00.000,2.3
117030,360810124,2020-09-01 12:00:00.000,1.3
126374,360810125,2020-09-01 12:00:00.000,6.4
48403,360470118,2020-09-01 12:00:00.000,0.2
145483,360850111,2020-09-01 12:00:00.000,2.7
145484,360850111,2020-09-01 13:00:00.000,2.1
48404,360470118,2020-09-01 13:00:00.000,6.6
126375,360810125,2020-09-01 13:00:00.000,8.9
117031,360810124,2020-09-01 13:00:00.000,4.4
62298,360610115,2020-09-01 13:00:00.000,6.2
82970,360610135,2020-09-01 13:00:00.000,5.4
16548,360050112,2020-09-01 13:00:00.000,3.9
29614,360470052,2020-09-01 13:00:00.000,8.6
206443,36081NY09285,2020-09-01 13:00:00.000,4.14
