#---------------------------------------------------------------------------------
#If this data is to be used publicly, it must be cited. Suggested citation below:
#New York City Department of Health and Mental Hygiene and Queens College. 
#New York City Community Air Survey.
#Real-time PM2.5 Monitor Data from
# January 01 - 2021 to January 31 - 2021. 
#https://a816-dohbesp.nyc.gov/IndicatorPublic/data-features/realtime-air-quality/.
#File Created on: January 13 - 2026
#------------------------------------------------------------------------------------
ID,SiteID,ObservationTimeUTC,Value
119684,360810124,2021-01-01 00:00:00.000,8.9
100616,360810120,2021-01-01 00:00:00.000,8.5
51099,360470118,2021-01-01 00:00:00.000,9.6
129111,360810125,2021-01-01 00:00:00.000,13.0
148089,360850111,2021-01-01 00:00:00.000,9.7
222321,36081NY09285,2021-01-01 00:00:00.000,7.27
222322,36061NY09734,2021-01-01 00:00:00.000,9.2
222323,36061NY08552,2021-01-01 00:00:00.000,9.28
222324,36061NY10130,2021-01-01 00:00:00.000,23.6
222325,36061NY09929,2021-01-01 00:00:00.000,9.88
84872,360610135,2021-01-01 00:00:00.000,11.4
64953,360610115,2021-01-01 00:00:00.000,10.7
32281,360470052,2021-01-01 00:00:00.000,9.7
19304,360050112,2021-01-01 00:00:00.000,10.1
19305,360050112,2021-01-01 01:00:00.000,11.0
32282,360470052,2021-01-01 01:00:00.000,7.9
64954,360610115,2021-01-01 01:00:00.000,9.9
84873,360610135,2021-01-01 01:00:00.000,11.1
222326,36061NY09734,2021-01-01 01:00:00.000,8.75
222327,36061NY10130,2021-01-01 01:00:00.000,23.07
222328,36081NY09285,2021-01-01 01:00:00.000,7.78
222329,36061NY09929,2021-01-01 01:00:00.000,9.27
222330,36061NY08552,2021-01-01 01:00:00.000,9.36
148090,360850111,2021-01-01 01:00:00.000,9.4
129112,360810125,2021-01-01 01:00:00.000,10.4
51100,360470118,2021-01-01 01:00:00.000,8.6
100617,360810120,2021-01-01 01:00:00.000,8.5
119685,360810124,2021-01-01 01:00:00.000,5.3
119686,360810124,2021-01-01 02:00:00.000,5.2
100618,360810120,2021-01-01 02:00:00.000,9.5
51101,360470118,2021-01-01 02:00:00.000,10.7
129113,360810125,2021-01-01 02:00:00.000,13.8
148091,360850111,2021-01-01 02:00:00.000,10.0
222331,36061NY09929,2021-01-01 02:00:00.000,10.23
222332,36061NY09734,2021-01-01 02:00:00.000,8.38
222333,36081NY09285,2021-01-01 02:00:00.000,7.89
222334,36061NY10130,2021-01-01 02:00:00.000,23.21
84874,360610135,2021-01-01 02:00:00.000,11.9
64955,360610115,2021-01-01 02:00:00.000,11.3
32283,360470052,2021-01-01 02:00:00.000,9.3
19306,360050112,2021-01-01 02:00:00.000,12.7
19307,360050112,2021-01-01 03:00:00.000,11.5
32284,360470052,2021-01-01 03:00:00.000,7.9
64956,360610115,2021-01-01 03:00:00.000,11.6
84875,360610135,2021-01-01 03:00:00.000,11.9
222335,36061NY09734,2021-01-01 03:00:00.000,8.46
222336,36061NY08552,2021-01-01 03:00:00.000,8.59
222337,36061NY10130,2021-01-01 03:00:00.000,22.86
222338,36081NY09285,2021-01-01 03:00:00.000,7.63
222339,36061NY09929,2021-01-01 03:00:00.000,10.69
148092,360850111,2021-01-01 03:00:00.000,10.9
129114,360810125,2021-01-01 03:00:00.000,11.3
51102,360470118,2021-01-01 03:00:00.000,12.9
100619,360810120,2021-01-01 03:00:00.000,9.3
119687,360810124,2021-01-01 03:00:00.000,3.9
119688,360810124,2021-01-01 04:00:00.000,4.4
100620,360810120,2021-01-01 04:00:00.000,8.2
51103,360470118,2021-01-01 04:00:00.000,10.5
129115,360810125,2021-01-01 04:00:00.000,9.6
148093,360850111,2021-01-01 04:00:00.000,10.2
222340,36081NY09285,2021-01-01 04:00:00.000,7.37
222341,36061NY08552,2021-01-01 04:00:00.000,7.76
222342,36061NY09929,2021-01-01 04:00:00.000,10.0
222343,36061NY09734,2021-01-01 04:00:00.000,8.23
222344,36061NY10130,2021-01-01 04:00:00.000,23.24
84876,360610135,2021-01-01 04:00:00.000,10.6
64957,360610115,2021-01-01 04:00:00.000,9.7
32285,360470052,2021-01-01 04:00:00.000,8.7
19308,360050112,2021-01-01 04:00:00.000,9.0
19309,360050112,2021-01-01 05:00:00.000,33.1
32286,360470052,2021-01-01 05:00:00.000,9.9
64958,360610115,2021-01-01 05:00:00.000,11.3
84877,360610135,2021-01-01 05:00:00.000,13.4
222345,36061NY09929,2021-01-01 05:00:00.000,12.3
222346,36061NY10130,2021-01-01 05:00:00.000,22.23
222347,36061NY08552,2021-01-01 05:00:00.000,7.72
222348,36081NY09285,2021-01-01 05:00:00.000,7.55
222349,36061NY09734,2021-01-01 05:00:00.000,8.19
148094,360850111,2021-01-01 05:00:00.000,12.7
129116,360810125,2021-01-01 05:00:00.000,14.6
51104,360470118,2021-01-01 05:00:00.000,36.3
100621,360810120,2021-01-01 05:00:00.000,15.4
119689,360810124,2021-01-01 05:00:00.000,9.2
119690,360810124,2021-01-01 06:00:00.000,7.9
100622,360810120,2021-01-01 06:00:00.000,14.2
51105,360470118,2021-01-01 06:00:00.000,15.4
129117,360810125,2021-01-01 06:00:00.000,17.1
148095,360850111,2021-01-01 06:00:00.000,18.2
222350,36081NY09285,2021-01-01 06:00:00.000,8.24
222351,36061NY09929,2021-01-01 06:00:00.000,9.65
222352,36061NY10130,2021-01-01 06:00:00.000,21.8
222353,36061NY09734,2021-01-01 06:00:00.000,8.08
222354,36061NY08552,2021-01-01 06:00:00.000,8.18
84878,360610135,2021-01-01 06:00:00.000,13.3
64959,360610115,2021-01-01 06:00:00.000,12.0
32287,360470052,2021-01-01 06:00:00.000,12.2
19310,360050112,2021-01-01 06:00:00.000,16.3
19311,360050112,2021-01-01 07:00:00.000,15.1
32288,360470052,2021-01-01 07:00:00.000,13.7
64960,360610115,2021-01-01 07:00:00.000,12.7
84879,360610135,2021-01-01 07:00:00.000,11.6
222355,36081NY09285,2021-01-01 07:00:00.000,7.97
222356,36061NY08552,2021-01-01 07:00:00.000,6.65
222357,36061NY09734,2021-01-01 07:00:00.000,7.49
222358,36061NY10130,2021-01-01 07:00:00.000,20.49
222359,36061NY09929,2021-01-01 07:00:00.000,7.17
148096,360850111,2021-01-01 07:00:00.000,21.2
129118,360810125,2021-01-01 07:00:00.000,17.4
51106,360470118,2021-01-01 07:00:00.000,14.0
100623,360810120,2021-01-01 07:00:00.000,12.5
119691,360810124,2021-01-01 07:00:00.000,8.4
119692,360810124,2021-01-01 08:00:00.000,10.8
100624,360810120,2021-01-01 08:00:00.000,12.1
51107,360470118,2021-01-01 08:00:00.000,12.0
129119,360810125,2021-01-01 08:00:00.000,14.5
148097,360850111,2021-01-01 08:00:00.000,20.9
222360,36081NY09285,2021-01-01 08:00:00.000,7.51
222361,36061NY09929,2021-01-01 08:00:00.000,6.12
222362,36061NY10130,2021-01-01 08:00:00.000,19.24
222363,36061NY09734,2021-01-01 08:00:00.000,5.93
222364,36061NY08552,2021-01-01 08:00:00.000,5.77
84880,360610135,2021-01-01 08:00:00.000,12.0
64961,360610115,2021-01-01 08:00:00.000,14.0
32289,360470052,2021-01-01 08:00:00.000,10.2
19312,360050112,2021-01-01 08:00:00.000,13.1
19313,360050112,2021-01-01 09:00:00.000,11.8
32290,360470052,2021-01-01 09:00:00.000,6.8
64962,360610115,2021-01-01 09:00:00.000,13.1
84881,360610135,2021-01-01 09:00:00.000,11.5
222365,36061NY09734,2021-01-01 09:00:00.000,5.55
222366,36061NY10130,2021-01-01 09:00:00.000,18.91
222367,36061NY08552,2021-01-01 09:00:00.000,5.91
222368,36061NY09929,2021-01-01 09:00:00.000,5.52
222369,36081NY09285,2021-01-01 09:00:00.000,7.35
148098,360850111,2021-01-01 09:00:00.000,18.4
129120,360810125,2021-01-01 09:00:00.000,14.1
51108,360470118,2021-01-01 09:00:00.000,11.2
100625,360810120,2021-01-01 09:00:00.000,10.7
119693,360810124,2021-01-01 09:00:00.000,10.2
119694,360810124,2021-01-01 10:00:00.000,12.3
100626,360810120,2021-01-01 10:00:00.000,9.8
51109,360470118,2021-01-01 10:00:00.000,11.1
129121,360810125,2021-01-01 10:00:00.000,10.5
148099,360850111,2021-01-01 10:00:00.000,17.2
222370,36061NY10130,2021-01-01 10:00:00.000,18.94
222371,36061NY09929,2021-01-01 10:00:00.000,5.23
222372,36061NY08552,2021-01-01 10:00:00.000,5.46
222373,36081NY09285,2021-01-01 10:00:00.000,4.89
222374,36061NY09734,2021-01-01 10:00:00.000,5.61
84882,360610135,2021-01-01 10:00:00.000,11.2
64963,360610115,2021-01-01 10:00:00.000,14.8
32291,360470052,2021-01-01 10:00:00.000,8.7
19314,360050112,2021-01-01 10:00:00.000,12.0
19315,360050112,2021-01-01 11:00:00.000,11.6
32292,360470052,2021-01-01 11:00:00.000,8.5
64964,360610115,2021-01-01 11:00:00.000,14.5
84883,360610135,2021-01-01 11:00:00.000,12.3
222375,36061NY10130,2021-01-01 11:00:00.000,18.55
222376,36061NY09734,2021-01-01 11:00:00.000,5.58
222377,36061NY08552,2021-01-01 11:00:00.000,5.41
222378,36061NY09929,2021-01-01 11:00:00.000,5.27
222379,36081NY09285,2021-01-01 11:00:00.000,3.95
148100,360850111,2021-01-01 11:00:00.000,17.2
129122,360810125,2021-01-01 11:00:00.000,9.1
51110,360470118,2021-01-01 11:00:00.000,10.0
100627,360810120,2021-01-01 11:00:00.000,9.9
119695,360810124,2021-01-01 11:00:00.000,7.6
119696,360810124,2021-01-01 12:00:00.000,8.4
100628,360810120,2021-01-01 12:00:00.000,8.0
51111,360470118,2021-01-01 12:00:00.000,9.4
129123,360810125,2021-01-01 12:00:00.000,8.7
148101,360850111,2021-01-01 12:00:00.000,16.5
222380,36061NY10130,2021-01-01 12:00:00.000,19.38
222381,36061NY09734,2021-01-01 12:00:00.000,6.28
222382,36061NY08552,2021-01-01 12:00:00.000,5.29
222383,36081NY09285,2021-01-01 12:00:00.000,3.63
222384,36061NY09929,2021-01-01 12:00:00.000,5.62
84884,360610135,2021-01-01 12:00:00.000,14.4
64965,360610115,2021-01-01 12:00:00.000,14.2
32293,360470052,2021-01-01 12:00:00.000,7.8
19316,360050112,2021-01-01 12:00:00.000,3.9
19317,360050112,2021-01-01 13:00:00.000,7.2
32294,360470052,2021-01-01 13:00:00.000,5.9
64966,360610115,2021-01-01 13:00:00.000,10.9
84885,360610135,2021-01-01 13:00:00.000,8.3
222385,36061NY09734,2021-01-01 13:00:00.000,5.23
222386,36061NY10130,2021-01-01 13:00:00.000,18.43
222387,36061NY09929,2021-01-01 13:00:00.000,5.89
222388,36081NY09285,2021-01-01 13:00:00.000,3.47
222389,36061NY08552,2021-01-01 13:00:00.000,5.24
148102,360850111,2021-01-01 13:00:00.000,17.1
129124,360810125,2021-01-01 13:00:00.000,7.5
51112,360470118,2021-01-01 13:00:00.000,8.2
100629,360810120,2021-01-01 13:00:00.000,8.3
119697,360810124,2021-01-01 13:00:00.000,4.1
119698,360810124,2021-01-01 14:00:00.000,3.3
100630,360810120,2021-01-01 14:00:00.000,5.4
51113,360470118,2021-01-01 14:00:00.000,7.5
129125,360810125,2021-01-01 14:00:00.000,7.8
148103,360850111,2021-01-01 14:00:00.000,13.0
222390,36061NY09734,2021-01-01 14:00:00.000,5.8
222391,36061NY08552,2021-01-01 14:00:00.000,4.27
222392,36081NY09285,2021-01-01 14:00:00.000,3.24
222393,36061NY10130,2021-01-01 14:00:00.000,16.34
222394,36061NY09929,2021-01-01 14:00:00.000,4.67
84886,360610135,2021-01-01 14:00:00.000,6.9
64967,360610115,2021-01-01 14:00:00.000,9.2
32295,360470052,2021-01-01 14:00:00.000,2.4
19318,360050112,2021-01-01 14:00:00.000,11.4
19319,360050112,2021-01-01 15:00:00.000,8.9
32296,360470052,2021-01-01 15:00:00.000,8.3
64968,360610115,2021-01-01 15:00:00.000,5.8
84887,360610135,2021-01-01 15:00:00.000,5.8
222395,36061NY09929,2021-01-01 15:00:00.000,5.26
222396,36061NY08552,2021-01-01 15:00:00.000,5.0
222397,36081NY09285,2021-01-01 15:00:00.000,3.71
222398,36061NY10130,2021-01-01 15:00:00.000,16.07
222399,36061NY09734,2021-01-01 15:00:00.000,4.38
148104,360850111,2021-01-01 15:00:00.000,8.0
129126,360810125,2021-01-01 15:00:00.000,7.2
51114,360470118,2021-01-01 15:00:00.000,5.5
100631,360810120,2021-01-01 15:00:00.000,5.1
119699,360810124,2021-01-01 15:00:00.000,6.0
119700,360810124,2021-01-01 16:00:00.000,5.8
100632,360810120,2021-01-01 16:00:00.000,3.9
51115,360470118,2021-01-01 16:00:00.000,4.0
129127,360810125,2021-01-01 16:00:00.000,4.9
148105,360850111,2021-01-01 16:00:00.000,5.6
222400,36061NY08552,2021-01-01 16:00:00.000,5.12
222401,36061NY09929,2021-01-01 16:00:00.000,6.17
222402,36061NY10130,2021-01-01 16:00:00.000,17.33
222403,36061NY09734,2021-01-01 16:00:00.000,4.96
222404,36081NY09285,2021-01-01 16:00:00.000,4.05
84888,360610135,2021-01-01 16:00:00.000,3.6
64969,360610115,2021-01-01 16:00:00.000,2.1
32297,360470052,2021-01-01 16:00:00.000,10.7
19320,360050112,2021-01-01 16:00:00.000,3.0
19321,360050112,2021-01-01 17:00:00.000,7.0
32298,360470052,2021-01-01 17:00:00.000,5.4
64970,360610115,2021-01-01 17:00:00.000,5.4
84889,360610135,2021-01-01 17:00:00.000,6.8
222405,36061NY09929,2021-01-01 17:00:00.000,5.21
222406,36061NY08552,2021-01-01 17:00:00.000,5.35
222407,36061NY10130,2021-01-01 17:00:00.000,18.23
222408,36081NY09285,2021-01-01 17:00:00.000,4.3
222409,36061NY09734,2021-01-01 17:00:00.000,5.71
148106,360850111,2021-01-01 17:00:00.000,2.7
129128,360810125,2021-01-01 17:00:00.000,7.4
51116,360470118,2021-01-01 17:00:00.000,8.1
100633,360810120,2021-01-01 17:00:00.000,5.6
119701,360810124,2021-01-01 17:00:00.000,5.0
119702,360810124,2021-01-01 18:00:00.000,5.5
100634,360810120,2021-01-01 18:00:00.000,6.2
51117,360470118,2021-01-01 18:00:00.000,7.0
129129,360810125,2021-01-01 18:00:00.000,7.5
148107,360850111,2021-01-01 18:00:00.000,4.8
222410,36061NY09929,2021-01-01 18:00:00.000,5.4
222411,36061NY09734,2021-01-01 18:00:00.000,6.08
222412,36061NY10130,2021-01-01 18:00:00.000,19.46
222413,36081NY09285,2021-01-01 18:00:00.000,4.54
222414,36061NY08552,2021-01-01 18:00:00.000,6.08
84890,360610135,2021-01-01 18:00:00.000,7.0
64971,360610115,2021-01-01 18:00:00.000,6.5
32299,360470052,2021-01-01 18:00:00.000,8.1
19322,360050112,2021-01-01 18:00:00.000,7.2
19323,360050112,2021-01-01 19:00:00.000,8.4
32300,360470052,2021-01-01 19:00:00.000,7.4
64972,360610115,2021-01-01 19:00:00.000,9.3
84891,360610135,2021-01-01 19:00:00.000,9.5
222415,36081NY09285,2021-01-01 19:00:00.000,4.83
222416,36061NY09734,2021-01-01 19:00:00.000,7.95
222417,36061NY08552,2021-01-01 19:00:00.000,10.15
222418,36061NY09929,2021-01-01 19:00:00.000,5.89
222419,36061NY10130,2021-01-01 19:00:00.000,20.56
148108,360850111,2021-01-01 19:00:00.000,8.1
129130,360810125,2021-01-01 19:00:00.000,9.0
51118,360470118,2021-01-01 19:00:00.000,8.3
100635,360810120,2021-01-01 19:00:00.000,9.6
119703,360810124,2021-01-01 19:00:00.000,3.7
119704,360810124,2021-01-01 20:00:00.000,5.4
100636,360810120,2021-01-01 20:00:00.000,7.5
51119,360470118,2021-01-01 20:00:00.000,8.0
129131,360810125,2021-01-01 20:00:00.000,7.7
148109,360850111,2021-01-01 20:00:00.000,7.0
222420,36061NY10130,2021-01-01 20:00:00.000,20.22
222421,36061NY09929,2021-01-01 20:00:00.000,7.05
222422,36081NY09285,2021-01-01 20:00:00.000,5.17
222423,36061NY09734,2021-01-01 20:00:00.000,11.19
222424,36061NY08552,2021-01-01 20:00:00.000,6.94
84892,360610135,2021-01-01 20:00:00.000,7.6
64973,360610115,2021-01-01 20:00:00.000,6.0
32301,360470052,2021-01-01 20:00:00.000,8.4
19324,360050112,2021-01-01 20:00:00.000,5.9
19325,360050112,2021-01-01 21:00:00.000,8.3
32302,360470052,2021-01-01 21:00:00.000,10.3
64974,360610115,2021-01-01 21:00:00.000,7.4
84893,360610135,2021-01-01 21:00:00.000,9.1
222425,36081NY09285,2021-01-01 21:00:00.000,5.57
222426,36061NY09734,2021-01-01 21:00:00.000,9.5
222427,36061NY08552,2021-01-01 21:00:00.000,6.82
222428,36061NY09929,2021-01-01 21:00:00.000,8.9
222429,36061NY10130,2021-01-01 21:00:00.000,19.78
148110,360850111,2021-01-01 21:00:00.000,6.7
129132,360810125,2021-01-01 21:00:00.000,9.6
51120,360470118,2021-01-01 21:00:00.000,8.9
100637,360810120,2021-01-01 21:00:00.000,8.4
119705,360810124,2021-01-01 21:00:00.000,7.4
119706,360810124,2021-01-01 22:00:00.000,8.1
100638,360810120,2021-01-01 22:00:00.000,11.2
51121,360470118,2021-01-01 22:00:00.000,9.2
129133,360810125,2021-01-01 22:00:00.000,12.3
148111,360850111,2021-01-01 22:00:00.000,7.8
