#---------------------------------------------------------------------------------
#If this data is to be used publicly, it must be cited. Suggested citation below:
#New York City Department of Health and Mental Hygiene and Queens College. 
#New York City Community Air Survey.
#Real-time PM2.5 Monitor Data from
# December 01 - 2021 to December 31 - 2021. 
#https://a816-dohbesp.nyc.gov/IndicatorPublic/data-features/realtime-air-quality/.
#File Created on: January 13 - 2026
#------------------------------------------------------------------------------------
ID,SiteID,ObservationTimeUTC,Value
154395,360850111,2021-12-01 00:00:00.000,11.5
255827,36061NY10130,2021-12-01 00:00:00.000,9.81
255828,36081NY09285,2021-12-01 00:00:00.000,7.27
255829,36061NY08552,2021-12-01 00:00:00.000,10.83
255830,36081NY09285,2021-12-01 00:00:00.000,7.27
136509,360810125,2021-12-01 00:00:00.000,6.4
107801,360810120,2021-12-01 00:00:00.000,7.7
57272,360470118,2021-12-01 00:00:00.000,8.2
39619,360470052,2021-12-01 00:00:00.000,8.3
7860,360050110,2021-12-01 00:00:00.000,12.0
91576,360610135,2021-12-01 00:00:00.000,10.5
71433,360610115,2021-12-01 00:00:00.000,12.8
71434,360610115,2021-12-01 01:00:00.000,11.8
91577,360610135,2021-12-01 01:00:00.000,10.4
7861,360050110,2021-12-01 01:00:00.000,12.2
39620,360470052,2021-12-01 01:00:00.000,9.5
57273,360470118,2021-12-01 01:00:00.000,9.9
107802,360810120,2021-12-01 01:00:00.000,11.1
136510,360810125,2021-12-01 01:00:00.000,8.0
255831,36061NY10130,2021-12-01 01:00:00.000,10.46
255832,36061NY08552,2021-12-01 01:00:00.000,12.4
255833,36081NY09285,2021-12-01 01:00:00.000,8.96
255834,36081NY09285,2021-12-01 01:00:00.000,8.96
154396,360850111,2021-12-01 01:00:00.000,10.7
154397,360850111,2021-12-01 02:00:00.000,9.9
255835,36081NY09285,2021-12-01 02:00:00.000,10.41
255836,36081NY09285,2021-12-01 02:00:00.000,10.41
255837,36061NY10130,2021-12-01 02:00:00.000,10.73
255838,36061NY08552,2021-12-01 02:00:00.000,11.89
136511,360810125,2021-12-01 02:00:00.000,9.5
107803,360810120,2021-12-01 02:00:00.000,9.4
57274,360470118,2021-12-01 02:00:00.000,10.9
39621,360470052,2021-12-01 02:00:00.000,10.5
7862,360050110,2021-12-01 02:00:00.000,12.6
91578,360610135,2021-12-01 02:00:00.000,7.7
71435,360610115,2021-12-01 02:00:00.000,9.4
71436,360610115,2021-12-01 03:00:00.000,8.7
91579,360610135,2021-12-01 03:00:00.000,7.4
7863,360050110,2021-12-01 03:00:00.000,13.0
39622,360470052,2021-12-01 03:00:00.000,10.8
57275,360470118,2021-12-01 03:00:00.000,11.9
107804,360810120,2021-12-01 03:00:00.000,9.0
136512,360810125,2021-12-01 03:00:00.000,7.7
255839,36061NY08552,2021-12-01 03:00:00.000,13.52
255840,36081NY09285,2021-12-01 03:00:00.000,11.04
255841,36061NY10130,2021-12-01 03:00:00.000,10.81
255842,36081NY09285,2021-12-01 03:00:00.000,11.04
154398,360850111,2021-12-01 03:00:00.000,7.9
154399,360850111,2021-12-01 04:00:00.000,8.8
255843,36081NY09285,2021-12-01 04:00:00.000,12.32
255844,36081NY09285,2021-12-01 04:00:00.000,12.32
255845,36061NY08552,2021-12-01 04:00:00.000,13.61
255846,36061NY10130,2021-12-01 04:00:00.000,11.1
136513,360810125,2021-12-01 04:00:00.000,10.0
107805,360810120,2021-12-01 04:00:00.000,9.7
57276,360470118,2021-12-01 04:00:00.000,12.4
39623,360470052,2021-12-01 04:00:00.000,11.4
7864,360050110,2021-12-01 04:00:00.000,14.0
91580,360610135,2021-12-01 04:00:00.000,10.2
71437,360610115,2021-12-01 04:00:00.000,10.4
71438,360610115,2021-12-01 05:00:00.000,10.6
91581,360610135,2021-12-01 05:00:00.000,10.5
7865,360050110,2021-12-01 05:00:00.000,15.0
39624,360470052,2021-12-01 05:00:00.000,12.1
57277,360470118,2021-12-01 05:00:00.000,13.1
107806,360810120,2021-12-01 05:00:00.000,10.0
136514,360810125,2021-12-01 05:00:00.000,10.1
255847,36061NY08552,2021-12-01 05:00:00.000,13.35
255848,36081NY09285,2021-12-01 05:00:00.000,13.13
255849,36061NY10130,2021-12-01 05:00:00.000,11.65
255850,36081NY09285,2021-12-01 05:00:00.000,13.13
154400,360850111,2021-12-01 05:00:00.000,9.7
154401,360850111,2021-12-01 06:00:00.000,9.4
255851,36081NY09285,2021-12-01 06:00:00.000,13.02
255852,36081NY09285,2021-12-01 06:00:00.000,13.02
255853,36061NY10130,2021-12-01 06:00:00.000,10.8
255854,36061NY08552,2021-12-01 06:00:00.000,13.87
136515,360810125,2021-12-01 06:00:00.000,11.9
107807,360810120,2021-12-01 06:00:00.000,12.4
57278,360470118,2021-12-01 06:00:00.000,13.0
39625,360470052,2021-12-01 06:00:00.000,11.5
7866,360050110,2021-12-01 06:00:00.000,14.6
91582,360610135,2021-12-01 06:00:00.000,10.5
71439,360610115,2021-12-01 06:00:00.000,12.3
71440,360610115,2021-12-01 07:00:00.000,11.9
91583,360610135,2021-12-01 07:00:00.000,7.6
7867,360050110,2021-12-01 07:00:00.000,13.9
39626,360470052,2021-12-01 07:00:00.000,11.1
57279,360470118,2021-12-01 07:00:00.000,11.6
107808,360810120,2021-12-01 07:00:00.000,11.1
136516,360810125,2021-12-01 07:00:00.000,13.3
255855,36061NY08552,2021-12-01 07:00:00.000,12.41
255856,36061NY10130,2021-12-01 07:00:00.000,10.31
255857,36081NY09285,2021-12-01 07:00:00.000,11.51
255858,36081NY09285,2021-12-01 07:00:00.000,11.51
154402,360850111,2021-12-01 07:00:00.000,12.6
154403,360850111,2021-12-01 08:00:00.000,12.2
255859,36061NY10130,2021-12-01 08:00:00.000,10.89
255860,36081NY09285,2021-12-01 08:00:00.000,12.18
255861,36081NY09285,2021-12-01 08:00:00.000,12.18
255862,36061NY08552,2021-12-01 08:00:00.000,13.89
136517,360810125,2021-12-01 08:00:00.000,10.2
107809,360810120,2021-12-01 08:00:00.000,8.6
57280,360470118,2021-12-01 08:00:00.000,13.3
39627,360470052,2021-12-01 08:00:00.000,12.7
7868,360050110,2021-12-01 08:00:00.000,13.8
91584,360610135,2021-12-01 08:00:00.000,9.3
71441,360610115,2021-12-01 08:00:00.000,11.6
71442,360610115,2021-12-01 09:00:00.000,12.9
91585,360610135,2021-12-01 09:00:00.000,12.7
7869,360050110,2021-12-01 09:00:00.000,14.3
39628,360470052,2021-12-01 09:00:00.000,12.8
57281,360470118,2021-12-01 09:00:00.000,12.6
107810,360810120,2021-12-01 09:00:00.000,10.0
136518,360810125,2021-12-01 09:00:00.000,10.5
255863,36061NY10130,2021-12-01 09:00:00.000,11.19
255864,36081NY09285,2021-12-01 09:00:00.000,12.83
255865,36081NY09285,2021-12-01 09:00:00.000,12.83
255866,36061NY08552,2021-12-01 09:00:00.000,13.43
154404,360850111,2021-12-01 09:00:00.000,10.5
154405,360850111,2021-12-01 10:00:00.000,9.7
255867,36061NY08552,2021-12-01 10:00:00.000,11.97
255868,36061NY10130,2021-12-01 10:00:00.000,10.33
255869,36081NY09285,2021-12-01 10:00:00.000,11.02
255870,36081NY09285,2021-12-01 10:00:00.000,11.02
136519,360810125,2021-12-01 10:00:00.000,10.5
107811,360810120,2021-12-01 10:00:00.000,8.1
57282,360470118,2021-12-01 10:00:00.000,11.3
39629,360470052,2021-12-01 10:00:00.000,11.8
7870,360050110,2021-12-01 10:00:00.000,13.3
91586,360610135,2021-12-01 10:00:00.000,10.2
71443,360610115,2021-12-01 10:00:00.000,13.0
71444,360610115,2021-12-01 11:00:00.000,12.8
91587,360610135,2021-12-01 11:00:00.000,9.3
7871,360050110,2021-12-01 11:00:00.000,11.8
39630,360470052,2021-12-01 11:00:00.000,10.4
57283,360470118,2021-12-01 11:00:00.000,10.0
107812,360810120,2021-12-01 11:00:00.000,8.0
136520,360810125,2021-12-01 11:00:00.000,12.4
255871,36081NY09285,2021-12-01 11:00:00.000,12.1
255872,36061NY08552,2021-12-01 11:00:00.000,12.04
255873,36081NY09285,2021-12-01 11:00:00.000,12.1
255874,36061NY10130,2021-12-01 11:00:00.000,8.93
154406,360850111,2021-12-01 11:00:00.000,10.1
154407,360850111,2021-12-01 12:00:00.000,10.8
255875,36061NY08552,2021-12-01 12:00:00.000,11.78
255876,36081NY09285,2021-12-01 12:00:00.000,10.26
255877,36061NY10130,2021-12-01 12:00:00.000,9.09
255878,36081NY09285,2021-12-01 12:00:00.000,10.26
136521,360810125,2021-12-01 12:00:00.000,10.8
