#---------------------------------------------------------------------------------
#If this data is to be used publicly, it must be cited. Suggested citation below:
#New York City Department of Health and Mental Hygiene and Queens College. 
#New York City Community Air Survey.
#Real-time PM2.5 Monitor Data from
# August 01 - 2021 to August 31 - 2021. 
#https://a816-dohbesp.nyc.gov/IndicatorPublic/data-features/realtime-air-quality/.
#File Created on: January 13 - 2026
#------------------------------------------------------------------------------------
ID,SiteID,ObservationTimeUTC,Value
36728,360470052,2021-08-01 00:00:00.000,5.5
4970,360050110,2021-08-01 00:00:00.000,23.0
68677,360610115,2021-08-01 00:00:00.000,6.7
89266,360610135,2021-08-01 00:00:00.000,0.9
133724,360810125,2021-08-01 00:00:00.000,6.7
54610,360470118,2021-08-01 00:00:00.000,6.5
105071,360810120,2021-08-01 00:00:00.000,7.3
241875,36081NY09285,2021-08-01 00:00:00.000,4.68
241876,36061NY08552,2021-08-01 00:00:00.000,8.06
241877,36081NY09285,2021-08-01 00:00:00.000,4.68
241878,36061NY09734,2021-08-01 00:00:00.000,7.13
241879,36061NY10130,2021-08-01 00:00:00.000,5.2
152175,360850111,2021-08-01 00:00:00.000,2.7
152176,360850111,2021-08-01 01:00:00.000,6.7
241880,36061NY09734,2021-08-01 01:00:00.000,7.66
241881,36061NY08552,2021-08-01 01:00:00.000,7.82
241882,36081NY09285,2021-08-01 01:00:00.000,5.08
241883,36081NY09285,2021-08-01 01:00:00.000,5.08
241884,36061NY10130,2021-08-01 01:00:00.000,5.56
105072,360810120,2021-08-01 01:00:00.000,4.5
54611,360470118,2021-08-01 01:00:00.000,6.6
133725,360810125,2021-08-01 01:00:00.000,7.0
89267,360610135,2021-08-01 01:00:00.000,5.0
68678,360610115,2021-08-01 01:00:00.000,6.4
4971,360050110,2021-08-01 01:00:00.000,20.7
36729,360470052,2021-08-01 01:00:00.000,6.0
36730,360470052,2021-08-01 02:00:00.000,7.2
4972,360050110,2021-08-01 02:00:00.000,7.5
68679,360610115,2021-08-01 02:00:00.000,3.9
89268,360610135,2021-08-01 02:00:00.000,2.6
133726,360810125,2021-08-01 02:00:00.000,6.6
54612,360470118,2021-08-01 02:00:00.000,7.3
105073,360810120,2021-08-01 02:00:00.000,14.1
241885,36081NY09285,2021-08-01 02:00:00.000,5.09
241886,36061NY09734,2021-08-01 02:00:00.000,7.68
241887,36081NY09285,2021-08-01 02:00:00.000,5.09
241888,36061NY10130,2021-08-01 02:00:00.000,5.6
241889,36061NY08552,2021-08-01 02:00:00.000,7.18
152177,360850111,2021-08-01 02:00:00.000,7.1
152178,360850111,2021-08-01 03:00:00.000,6.2
241890,36061NY08552,2021-08-01 03:00:00.000,7.17
241891,36081NY09285,2021-08-01 03:00:00.000,4.91
241892,36081NY09285,2021-08-01 03:00:00.000,4.91
241893,36061NY10130,2021-08-01 03:00:00.000,6.47
241894,36061NY09734,2021-08-01 03:00:00.000,8.01
105074,360810120,2021-08-01 03:00:00.000,7.2
54613,360470118,2021-08-01 03:00:00.000,7.1
133727,360810125,2021-08-01 03:00:00.000,3.3
89269,360610135,2021-08-01 03:00:00.000,3.1
68680,360610115,2021-08-01 03:00:00.000,5.3
4973,360050110,2021-08-01 03:00:00.000,7.1
36731,360470052,2021-08-01 03:00:00.000,5.8
36732,360470052,2021-08-01 04:00:00.000,5.7
4974,360050110,2021-08-01 04:00:00.000,8.6
68681,360610115,2021-08-01 04:00:00.000,10.6
89270,360610135,2021-08-01 04:00:00.000,3.6
133728,360810125,2021-08-01 04:00:00.000,3.8
54614,360470118,2021-08-01 04:00:00.000,6.5
105075,360810120,2021-08-01 04:00:00.000,4.0
241895,36061NY09734,2021-08-01 04:00:00.000,7.66
241896,36061NY08552,2021-08-01 04:00:00.000,5.73
241897,36081NY09285,2021-08-01 04:00:00.000,5.3
241898,36061NY10130,2021-08-01 04:00:00.000,6.03
241899,36081NY09285,2021-08-01 04:00:00.000,5.3
152179,360850111,2021-08-01 04:00:00.000,4.4
152180,360850111,2021-08-01 05:00:00.000,2.5
241900,36061NY08552,2021-08-01 05:00:00.000,5.52
241901,36081NY09285,2021-08-01 05:00:00.000,5.56
241902,36061NY09734,2021-08-01 05:00:00.000,6.3
241903,36061NY10130,2021-08-01 05:00:00.000,5.45
241904,36081NY09285,2021-08-01 05:00:00.000,5.56
105076,360810120,2021-08-01 05:00:00.000,3.3
54615,360470118,2021-08-01 05:00:00.000,5.8
133729,360810125,2021-08-01 05:00:00.000,3.8
89271,360610135,2021-08-01 05:00:00.000,4.3
68682,360610115,2021-08-01 05:00:00.000,5.9
4975,360050110,2021-08-01 05:00:00.000,7.1
36733,360470052,2021-08-01 05:00:00.000,5.5
36734,360470052,2021-08-01 06:00:00.000,5.6
4976,360050110,2021-08-01 06:00:00.000,6.9
68683,360610115,2021-08-01 06:00:00.000,5.7
89272,360610135,2021-08-01 06:00:00.000,3.5
133730,360810125,2021-08-01 06:00:00.000,3.4
54616,360470118,2021-08-01 06:00:00.000,5.9
105077,360810120,2021-08-01 06:00:00.000,2.5
241905,36081NY09285,2021-08-01 06:00:00.000,5.75
241906,36061NY10130,2021-08-01 06:00:00.000,5.24
241907,36061NY09734,2021-08-01 06:00:00.000,6.03
241908,36061NY08552,2021-08-01 06:00:00.000,5.3
241909,36081NY09285,2021-08-01 06:00:00.000,5.75
152181,360850111,2021-08-01 06:00:00.000,3.4
152182,360850111,2021-08-01 07:00:00.000,4.5
241910,36061NY10130,2021-08-01 07:00:00.000,5.18
241911,36061NY09734,2021-08-01 07:00:00.000,6.12
241912,36081NY09285,2021-08-01 07:00:00.000,5.91
241913,36061NY08552,2021-08-01 07:00:00.000,5.61
241914,36081NY09285,2021-08-01 07:00:00.000,5.91
105078,360810120,2021-08-01 07:00:00.000,3.7
54617,360470118,2021-08-01 07:00:00.000,5.7
133731,360810125,2021-08-01 07:00:00.000,5.4
89273,360610135,2021-08-01 07:00:00.000,3.0
68684,360610115,2021-08-01 07:00:00.000,5.5
4977,360050110,2021-08-01 07:00:00.000,7.1
36735,360470052,2021-08-01 07:00:00.000,5.5
36736,360470052,2021-08-01 08:00:00.000,5.5
4978,360050110,2021-08-01 08:00:00.000,6.9
68685,360610115,2021-08-01 08:00:00.000,6.6
89274,360610135,2021-08-01 08:00:00.000,4.6
133732,360810125,2021-08-01 08:00:00.000,6.8
54618,360470118,2021-08-01 08:00:00.000,6.2
105079,360810120,2021-08-01 08:00:00.000,3.2
241915,36061NY09734,2021-08-01 08:00:00.000,5.92
241916,36081NY09285,2021-08-01 08:00:00.000,5.94
241917,36061NY10130,2021-08-01 08:00:00.000,5.13
