ID,SiteID,ObservationTimeUTC,Value
245537,36081NY09285,2021-09-01 00:00:00.000,8.15
245538,36081NY09285,2021-09-01 00:00:00.000,8.15
245539,36061NY09734,2021-09-01 00:00:00.000,9.8
245540,36061NY08552,2021-09-01 00:00:00.000,10.56
245541,36061NY10130,2021-09-01 00:00:00.000,8.66
245542,36061NY08552,2021-09-01 01:00:00.000,10.41
245543,36061NY09734,2021-09-01 01:00:00.000,9.23
245544,36081NY09285,2021-09-01 01:00:00.000,8.71
245545,36061NY10130,2021-09-01 01:00:00.000,8.73
245546,36081NY09285,2021-09-01 01:00:00.000,8.71
245547,36081NY09285,2021-09-01 02:00:00.000,9.2
245548,36081NY09285,2021-09-01 02:00:00.000,9.2
245549,36061NY08552,2021-09-01 02:00:00.000,10.27
245550,36061NY10130,2021-09-01 02:00:00.000,8.9
245551,36061NY09734,2021-09-01 02:00:00.000,9.67
245552,36061NY10130,2021-09-01 03:00:00.000,9.18
245553,36061NY09734,2021-09-01 03:00:00.000,10.31
245554,36081NY09285,2021-09-01 03:00:00.000,9.2
245555,36081NY09285,2021-09-01 03:00:00.000,9.2
245556,36061NY08552,2021-09-01 03:00:00.000,11.59
245557,36061NY10130,2021-09-01 04:00:00.000,8.66
245558,36081NY09285,2021-09-01 04:00:00.000,9.72
245559,36081NY09285,2021-09-01 04:00:00.000,9.72
245560,36061NY09734,2021-09-01 04:00:00.000,9.96
245561,36061NY08552,2021-09-01 04:00:00.000,11.46
245562,36081NY09285,2021-09-01 05:00:00.000,10.11
245563,36061NY10130,2021-09-01 05:00:00.000,8.21
245564,36061NY09734,2021-09-01 05:00:00.000,9.72
245565,36061NY08552,2021-09-01 05:00:00.000,12.34
245566,36081NY09285,2021-09-01 05:00:00.000,10.11
245567,36061NY09734,2021-09-01 06:00:00.000,9.34
245568,36081NY09285,2021-09-01 06:00:00.000,10.28
245569,36061NY08552,2021-09-01 06:00:00.000,11.19
245570,36081NY09285,2021-09-01 06:00:00.000,10.28
245571,36061NY10130,2021-09-01 06:00:00.000,9.0
245572,36081NY09285,2021-09-01 07:00:00.000,10.18
245573,36081NY09285,2021-09-01 07:00:00.000,10.18
245574,36061NY10130,2021-09-01 07:00:00.000,9.32
245575,36061NY08552,2021-09-01 07:00:00.000,12.0
245576,36061NY09734,2021-09-01 07:00:00.000,10.0
245577,36061NY08552,2021-09-01 08:00:00.000,13.28
245578,36081NY09285,2021-09-01 08:00:00.000,11.59
245579,36061NY09734,2021-09-01 08:00:00.000,11.71
245580,36081NY09285,2021-09-01 08:00:00.000,11.59
245581,36061NY10130,2021-09-01 08:00:00.000,9.87
245582,36061NY09734,2021-09-01 09:00:00.000,10.84
245583,36081NY09285,2021-09-01 09:00:00.000,11.65
245584,36081NY09285,2021-09-01 09:00:00.000,11.65
245585,36061NY08552,2021-09-01 09:00:00.000,12.57
245586,36061NY10130,2021-09-01 09:00:00.000,9.47
245587,36061NY09734,2021-09-01 10:00:00.000,10.65
245588,36061NY10130,2021-09-01 10:00:00.000,9.21
245589,36081NY09285,2021-09-01 10:00:00.000,10.46
245590,36061NY08552,2021-09-01 10:00:00.000,12.13
245591,36081NY09285,2021-09-01 10:00:00.000,10.46
245592,36061NY10130,2021-09-01 11:00:00.000,9.4
245593,36081NY09285,2021-09-01 11:00:00.000,10.09
