ID,SiteID,ObservationTimeUTC,Value
668377,36047NY07974,2025-04-01 00:00:00.000,6.39
668378,36047NY07974,2025-04-01 01:00:00.000,8.07
668379,36047NY07974,2025-04-01 02:00:00.000,7.04
668380,36047NY07974,2025-04-01 03:00:00.000,8.49
668381,36047NY07974,2025-04-01 04:00:00.000,9.99
668382,36047NY07974,2025-04-01 05:00:00.000,9.65
668383,36047NY07974,2025-04-01 06:00:00.000,8.41
668384,36047NY07974,2025-04-01 07:00:00.000,4.27
668385,36047NY07974,2025-04-01 08:00:00.000,3.34
668386,36047NY07974,2025-04-01 09:00:00.000,3.11
668387,36047NY07974,2025-04-01 10:00:00.000,2.55
668388,36047NY07974,2025-04-01 11:00:00.000,2.24
668389,36047NY07974,2025-04-01 12:00:00.000,3.18
668390,36047NY07974,2025-04-01 13:00:00.000,3.4
668391,36047NY07974,2025-04-01 14:00:00.000,4.1
668392,36047NY07974,2025-04-01 15:00:00.000,5.0
668393,36047NY07974,2025-04-01 16:00:00.000,4.29
668394,36047NY07974,2025-04-01 17:00:00.000,4.19
668395,36047NY07974,2025-04-01 18:00:00.000,4.3
668396,36047NY07974,2025-04-01 19:00:00.000,8.11
668397,36047NY07974,2025-04-01 20:00:00.000,3.02
668398,36047NY07974,2025-04-01 21:00:00.000,2.48
668399,36047NY07974,2025-04-01 22:00:00.000,2.33
668400,36047NY07974,2025-04-01 23:00:00.000,2.23
668401,36047NY07974,2025-04-02 00:00:00.000,3.25
668402,36047NY07974,2025-04-02 01:00:00.000,3.67
668403,36047NY07974,2025-04-02 02:00:00.000,4.06
668404,36047NY07974,2025-04-02 03:00:00.000,3.0
668405,36047NY07974,2025-04-02 04:00:00.000,3.0
668406,36047NY07974,2025-04-02 05:00:00.000,2.94
668407,36047NY07974,2025-04-02 06:00:00.000,2.96
668408,36047NY07974,2025-04-02 07:00:00.000,2.97
668409,36047NY07974,2025-04-02 08:00:00.000,3.34
668410,36047NY07974,2025-04-02 09:00:00.000,3.5
668411,36047NY07974,2025-04-02 10:00:00.000,5.0
668412,36047NY07974,2025-04-02 11:00:00.000,4.28
668413,36047NY07974,2025-04-02 12:00:00.000,4.36
668414,36047NY07974,2025-04-02 13:00:00.000,4.35
668415,36047NY07974,2025-04-02 14:00:00.000,4.66
668416,36047NY07974,2025-04-02 15:00:00.000,5.0
668417,36047NY07974,2025-04-02 16:00:00.000,4.23
668418,36047NY07974,2025-04-02 17:00:00.000,4.2
668419,36047NY07974,2025-04-02 18:00:00.000,4.01
668420,36061NY09929,2025-04-02 19:00:00.000,8.15
668421,36061NY10130,2025-04-02 19:00:00.000,4.81
668422,36061NY08552,2025-04-02 19:00:00.000,4.07
668423,36081NY09285,2025-04-02 19:00:00.000,4.39
668424,36005NY12387,2025-04-02 19:00:00.000,5.11
668425,36061NY08454,2025-04-02 19:00:00.000,4.36
668426,36061NY09734,2025-04-02 19:00:00.000,5.85
668427,36005NY11534,2025-04-02 19:00:00.000,4.42
668428,36061NY08653,2025-04-02 19:00:00.000,5.17
668429,36081NY07615,2025-04-02 19:00:00.000,3.58
668430,36085NY03820,2025-04-02 19:00:00.000,3.6
668431,36047NY07974,2025-04-02 19:00:00.000,4.06
668432,36061NY12380,2025-04-02 19:00:00.000,4.92
668433,36061NY09929,2025-04-02 20:00:00.000,6.86
668434,36061NY10130,2025-04-02 20:00:00.000,4.72
668435,36061NY08552,2025-04-02 20:00:00.000,4.82
668436,36081NY09285,2025-04-02 20:00:00.000,4.19
668437,36005NY12387,2025-04-02 20:00:00.000,5.32
668438,36061NY08454,2025-04-02 20:00:00.000,4.53
668439,36061NY09734,2025-04-02 20:00:00.000,5.29
668440,36005NY11534,2025-04-02 20:00:00.000,4.25
668441,36061NY08653,2025-04-02 20:00:00.000,3.85
668442,36081NY07615,2025-04-02 20:00:00.000,3.91
668443,36085NY03820,2025-04-02 20:00:00.000,4.09
668444,36047NY07974,2025-04-02 20:00:00.000,4.31
668445,36061NY12380,2025-04-02 20:00:00.000,4.57
668446,36061NY09929,2025-04-02 21:00:00.000,7.93
668447,36061NY10130,2025-04-02 21:00:00.000,4.67
668448,36061NY08552,2025-04-02 21:00:00.000,4.71
668449,36081NY09285,2025-04-02 21:00:00.000,4.09
668450,36005NY12387,2025-04-02 21:00:00.000,5.86
668451,36061NY08454,2025-04-02 21:00:00.000,4.3
668452,36061NY09734,2025-04-02 21:00:00.000,5.86
668453,36005NY11534,2025-04-02 21:00:00.000,4.2
668454,36061NY08653,2025-04-02 21:00:00.000,4.07
668455,36081NY07615,2025-04-02 21:00:00.000,4.07
668456,36085NY03820,2025-04-02 21:00:00.000,4.33
668457,36047NY07974,2025-04-02 21:00:00.000,4.46
668458,36061NY12380,2025-04-02 21:00:00.000,4.64
668459,36061NY09929,2025-04-02 22:00:00.000,8.01
668460,36061NY10130,2025-04-02 22:00:00.000,4.73
668461,36061NY08552,2025-04-02 22:00:00.000,4.83
668462,36081NY09285,2025-04-02 22:00:00.000,4.1
668463,36005NY12387,2025-04-02 22:00:00.000,5.46
668464,36061NY08454,2025-04-02 22:00:00.000,4.26
668465,36061NY09734,2025-04-02 22:00:00.000,5.98
668466,36005NY11534,2025-04-02 22:00:00.000,4.04
668467,36061NY08653,2025-04-02 22:00:00.000,3.92
668468,36081NY07615,2025-04-02 22:00:00.000,4.28
668469,36085NY03820,2025-04-02 22:00:00.000,4.47
668470,36047NY07974,2025-04-02 22:00:00.000,4.57
668471,36061NY12380,2025-04-02 22:00:00.000,4.56
668472,36061NY09929,2025-04-02 23:00:00.000,7.45
668473,36061NY10130,2025-04-02 23:00:00.000,4.85
668474,36061NY08552,2025-04-02 23:00:00.000,4.6
668475,36081NY09285,2025-04-02 23:00:00.000,4.18
668476,36005NY12387,2025-04-02 23:00:00.000,5.17
668477,36061NY08454,2025-04-02 23:00:00.000,4.07
668478,36061NY09734,2025-04-02 23:00:00.000,6.57
668479,36005NY11534,2025-04-02 23:00:00.000,3.79
668480,36061NY08653,2025-04-02 23:00:00.000,3.97
668481,36081NY07615,2025-04-02 23:00:00.000,4.08
668482,36085NY03820,2025-04-02 23:00:00.000,4.89
668483,36047NY07974,2025-04-02 23:00:00.000,4.74
